token_asli,frekuensi,kemungkinan_negasi,contoh_konteks,bentuk_baku,buang
tgl,160,False,"untuk sekarang ku kasih bintang 2 karna skrg tgl 28/12/2025 jam 13.23 wib blm nemu driver, sulit nemu driver! ",,
thanks,160,False,sangat membantu dan memudahkan ketika ingin pergi kemana saja. thanks gojek,,
bangett,158,False,okey bangett,,
comfort,158,False,pengalaman terbaik & terseru naik goride comfort motor listrik...,,
pick,155,False,"sekarang nyari driver susah banget, padahal banyak di sekitar tapi gak ada yg mau pick up",,
masukin,155,False,"butut,masukin kode nya salah trus padahal itu kode baru",,
nolak,153,False,"kecewa pelayanan driver hari ini! bilang lokasi jemput jauh dan malah suruh liat maps, pdhl sya tau lokasi dri",,
nomer,153,False,"payah, nomer hp kita dapatkan notip otpnya,whatsapp ada, lagi di kaitkan dan dipersulit ke gmail yang ntah dim",,
to,150,False,"kenapa selalu ndd kembalian nya driver ta, nblg sede jamannya mi pake gopay, yang penting membayar org to na u",,
gmn,149,False,"demi apapun, aplikasi nya kayaknya harus di perbaiki ke depan nya, langganan gojek karena murah buat anter rs ",,
tu,149,False,minus nya kalo pesen gojek dalam keadaan hujan padahal saya mau berangkat kerja susah banget gaada yang mau am,,
nambah,147,False,berguna bngt tapi tolong yah menurut gua tambahin kurir cewek biar nambah joss heheheh,,
cash,147,False,punya gopay 25rb..order 30..ga bisa nambah cash 5rb..harus tunai semua... males pake gojek lagi,,
on,146,False,tks atas pelayanan drivernya yg on time 🙏👍,,
otp,146,False,"ini gopay nya kenapa sih , setiap mau bayar kudu pake otp segala, mending kalau fast respon op nya ini mah ya ",,
maxim,145,False,"aplikasi tolol. dibandingkan dengan grab dan maxim gojek jauh di bawah. sudah mahal, susah bener dapat driver.",,
uninstal,145,False,pesab gofood untuk makan anak saya 1 jam lebih tidak dapat driver dan tidak bisa di batalin kecewa banget ... ,,
benerin,142,False,gojek tolong map nya di benerin karna sering gosend salah titik kasian drivernya,,
ttp,142,False,"ga jelas masyaallah biasanya ga gini dah, mau login aja di persulit apalagi lagi buru"" malah disruh nunggu trs",,
very,139,False,very good,,
lo,139,False,"gila gak ada penyelesaian kalo pas lgi kendalanya tidak menemukan driver, dari jam 11 siang sampe jam 2.30 lo ",,
tambahin,136,False,berguna bngt tapi tolong yah menurut gua tambahin kurir cewek biar nambah joss heheheh,,
google,135,False,"titik antar di aplikasi tidak sesuai sekali dengan titik di google maps, sehingga menimbulkan kesalahpahaman a",,
malem,135,False,"memalukan, ujan sudah berenti dari jam 4 sore, jalan ga macet, masih jam 7 malem susahnya nyari driver dpt dri",,
adain,135,False,"tolong adain fitur chat dengan resro langsung, tanpa nunggu resto chat kita, ini udh 3x order gacoan yg berbed",,
tips,131,False,"memalukan, ujan sudah berenti dari jam 4 sore, jalan ga macet, masih jam 7 malem susahnya nyari driver dpt dri",,
apl,131,False,gojek is the best cukup klik di apl ini lebih simpel dan semuanya bisa di klik aja deh gojek sllu di hati,,
you,131,False,thank you,,
bsa,130,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,,
cm,130,False,"go ojek gak jelas gw d blokir cm gara gara ngebeliin pulsa anak gw, suka tiba2 ngeblokir dgn alasan yg gak jel",,
and,129,False,good servis and many discount,,
nge,128,False,"bagus sih bagus, tapi suka error kalo, lg pesen go transit.. kuota msh banyak, aplikasi yg lain msh jalan, tap",,
bagusss,127,False,bagusss jangan lemott jaringan ajaa,,
apps,126,False,baru kali ini mesen gojek sudah dapat driver tertulis 7menit tiba namun sampai sejam lebih saya menunggu tak k,,
wa,126,False,"bagus sih bagus, tapi suka error kalo, lg pesen go transit.. kuota msh banyak, aplikasi yg lain msh jalan, tap",,
pakek,125,False,"gw sukak pakek lu!! lu sangat bermanfaat tapi tolong!! di capcut, di manapun iklan selalu lu!! mana tanda x ny",,
nyusahin,124,False,"nyusahin, mo log in pake harus vermuk segala, mana gagal terus ,",,
sma,123,False,"sebenarnya pelayanan oke bgt,sy pengguna gojek uda lama.cuma agak kecewa sma pelayanan gofoodnya skrg ga kya d",,
mntap,122,False,mntap,,
ktp,122,False,"akun dengan nik driver jangan hanya untuk satu nomor hp, biar bisa bikin akun lagi dengan nmr hp lain, supaya ",,
instal,121,False,kali ini aku benar - benar mendapatkan diskon lumayan banyak setelah aku instal kembali. dulu saya pernah down,,
bnget,121,False,saat pesen gojek datang nya cepet bnget 10 menit udh nyampe,,
mnt,121,False,"apk sampah driver cancel semua 40 mnt sia"", kalo banyak duit gk usah cari nafkah di ni apk",,
nunggunya,120,False,double order tambah lama nunggunya bagi customer,,
narik,120,False,aplikasi nya bagus membantu. tapi ada sebagian driver mobil yang di order tidak bergerak bahkan di hubungi tid,,
loading,120,False,"woiii balikin duit gw, gw mesen belum sampe tujuan udah disedot duluan rekening saldo gw, padahal drivernya ng",,
pemberitahuan,118,False,aplikasi ini miss pemberitahuan!,,
sgt,118,False,sgt membantu,,
ngebantu,117,False,"so far ngebantu gw bangett,, 8th pake gojek",,
time,116,False,tks atas pelayanan drivernya yg on time 🙏👍,,
tf,115,False,"sdh 6 tahun pakai ini tapi dgn kejadian ini saya sangat kecewa,. gojek tidak bisa menindak mitra yang kotor • ",,
drive,115,False,"saya baru pertama kali nyoba drive barang, tapi dari tadi lama ga di terima ojol nya, padahal jarak deket cuma",,
nganter,114,False,"kalo misalnya dari awal gabisa nganter pesanan tolong dong dikasih tau penyebabnya sama tombol cancel, haduh g",,
nyaa,114,False,koneksi ke jaringan lama dan lemot padahal lagi mau diuse nyaa buru buru.....,,
full,114,False,full bug,,
plat,114,False,"abg ojeknya berprilaku tidak sopan bicara nya, saya enggak terima dengan bicara nya dengan berkendaraan motor ",,
